32-1-16-6 μεγάλῳ
32-1-16-7 τὸν
32-1-16-8 Κύριον,
32-1-16-9 καὶ
32-1-16-10 ἔθυσαν
32-1-16-11 θυσίαν
32-1-16-12 τῷ
32-1-16-13 Κυρίῳ,
32-1-16-14 καὶ
32-1-16-15 ηὔξαντο
32-1-16-16 εὐχάς.
32-2-1-1 Καὶ
32-2-1-2 προσέταξεν
32-2-1-3 Κύριος
32-2-1-4 κήτει
32-2-1-5 μεγάλῳ
32-2-1-6 καταπιεῖν
32-2-1-7 τὸν
32-2-1-8 Ἰωνᾶν·
32-2-1-9 καὶ
32-2-1-10 ἦν
32-2-1-11 Ἰωνᾶς
32-2-1-12 ἐν
32-2-1-13 τῇ
32-2-1-14 κοιλίᾳ
32-2-1-15 τοῦ
32-2-1-16 κήτους
32-2-1-17 τρεῖς
32-2-1-18 ἡμέρας
32-2-1-19 καὶ
32-2-1-20 τρεῖς
32-2-1-21 νύκτας.
32-2-2-1 Καὶ
32-2-2-2 προσηύξατο
32-2-2-3 Ἰωνᾶς
32-2-2-4 πρὸς
32-2-2-5 Κύριον
32-2-2-6 τὸν
32-2-2-7 θεὸν
32-2-2-8 αὐτοῦ
32-2-2-9 ἐκ
32-2-2-10 τῆς
32-2-2-11 κοιλίας
32-2-2-12 τοῦ
32-2-2-13 κήτους,
32-2-3-1 Καὶ
32-2-3-2 εἶπεν·
32-2-3-3 ῷδή
32-2-3-4 ἐβόησα
32-2-3-5 ἐν
32-2-3-6 θλίψει
32-2-3-7 μου
32-2-3-8 πρὸς
32-2-3-9 Κύριον
32-2-3-10 τὸν
32-2-3-11 θεόν
32-2-3-12 μου,
32-2-3-13 καὶ
32-2-3-14 εἰσήκουσέν
32-2-3-15 μου.
32-2-3-16 ἐκ
32-2-3-17 κοιλίας
32-2-3-18 ᾅδου
32-2-3-19 κραυγῆς
32-2-3-20 μου,
32-2-3-21 ἤκουσας
32-2-3-22 φωνῆς
32-2-3-23 μου·
32-2-4-1 Ἀπέῤῥιψάς
32-2-4-2 με
32-2-4-3 εἰς
32-2-4-4 βάθη
32-2-4-5 καρδίας
32-2-4-6 θαλάσσης,
32-2-4-7 καὶ
32-2-4-8 ποταμοί
32-2-4-9 με
32-2-4-10 ἐκύκλωσαν·
32-2-4-11 πάντες
32-2-4-12 οἱ
32-2-4-13 μετεωρισμοί
32-2-4-14 σου
32-2-4-15 καὶ
32-2-4-16 τὰ
32-2-4-17 κύματά
32-2-4-18 σου
32-2-4-19 ἐπ’
32-2-4-20 ἐμὲ
32-2-4-21 διῆλθον.
32-2-5-1 Κᾀγὼ
32-2-5-2 εἶπα·
32-2-5-3 ἀπῶσμαι
32-2-5-4 ἐξ
32-2-5-5 ὀφθαλμῶν
32-2-5-6 σου·
32-2-5-7 ἆρα
32-2-5-8 προσθήσω
32-2-5-9 τοῦ
32-2-5-10 ἐπιβλέψαι
32-2-5-11 πρὸς
32-2-5-12 τὸν
32-2-5-13 ναὸν
32-2-5-14 τὸν
32-2-5-15 ἅγιόν
32-2-5-16 σου;
32-2-6-1 Περιεχύθη
32-2-6-2 μοι
32-2-6-3 ὕδωρ
32-2-6-4 ἕως
32-2-6-5 ψυχῆς,
32-2-6-6 ἄβυσσος
32-2-6-7 ἐκύκλωσέν
32-2-6-8 με
32-2-6-9 ἐσχάτη,
32-2-6-10 ἔδυ
32-2-6-11 ἡ
32-2-6-12 κεφαλή
32-2-6-13 μου
32-2-6-14 εἰς
32-2-6-15 σχισμὰς
32-2-6-16 ὀρέων·
32-2-7-1 κατέβην
32-2-7-2 εἰς
32-2-7-3 γῆν,
32-2-7-4 ἧς
32-2-7-5 οἱ
32-2-7-6 μοχλοὶ
32-2-7-7 αὐτῆς
32-2-7-8 κάτοχοι
32-2-7-9 αἰώνιοι·
32-2-7-10 καὶ
32-2-7-11 ἀναβήτω
32-2-7-12 ἐκ
32-2-7-13 φθορὰς
32-2-7-14 ἡ
32-2-7-15 ζωή
32-2-7-16 μου,
32-2-7-17 Κύριε
32-2-7-18 ὁ
32-2-7-19 θεός
32-2-7-20 μου.
32-2-8-1 Ἐν
32-2-8-2 τῷ
32-2-8-3 ἐκλείπειν
32-2-8-4 τὴν
32-2-8-5 ψυχήν
32-2-8-6 μου
32-2-8-7 ἀπ’
32-2-8-8 ἐμοῦ,
32-2-8-9 τοῦ
32-2-8-10 Κυρίου
32-2-8-11 ἐμνήσθην,
32-2-8-12 καὶ
32-2-8-13 ἔλθοι
32-2-8-14 πρὸς
32-2-8-15 σέ
32-2-8-16 ἡ
32-2-8-17 προσευχή
32-2-8-18 μου
32-2-8-19 εἰς
32-2-8-20 ναὸν
32-2-8-21 ἅγιόν
32-2-8-22 σου.
32-2-9-1 φυλασσόμενοι
32-2-9-2 μάταια
32-2-9-3 καὶ
32-2-9-4 ψευδῆ
32-2-9-5 ἔλεος
32-2-9-6 αὐτῶν
32-2-9-7 ἐγκατέλειπον.
